semana,indice,id,titulo,descricao,tipo,texto_completo,links,materiais,arquivos
Semana 01,1,46d403bdd15b4fe8a68dbf1e9880f00c,Workshop com Parceiro,24/04/2025 - 14:00h,Outros,"Workshop com Parceiro








24/04/2025 - 14:00h",,,
Semana 01,2,6ec59e1a3c00451994a3f359a92a340e,Filtragem Colaborativa baseada em Item,"25/04/2025 - 14:00h








Ovidio Lopes da Cruz Netto",Outros,"Filtragem Colaborativa baseada em Item








25/04/2025 - 14:00h








Ovidio Lopes da Cruz Netto",,,
Semana 01,3,81084fd18dae4e2c80cb8d77075c50a3,Recommendation Algorithm with SVD,Ovidio Lopes da Cruz Netto,Outros,"Recommendation Algorithm with SVD








Ovidio Lopes da Cruz Netto",,,
Semana 01,4,c641fc49242f4a4f8fb07ed97f1161e2,Visualizing SVD for Recommender Systems,Ovidio Lopes da Cruz Netto,Outros,"Visualizing SVD for Recommender Systems








Ovidio Lopes da Cruz Netto",,,
Semana 01,5,be12c320e74743e9a990cd118667390c,Cold start (recommender systems),Ovidio Lopes da Cruz Netto,Outros,"Cold start (recommender systems)








Ovidio Lopes da Cruz Netto",,,
Semana 01,6,d248db41e1bc4dce9d9dd291ab2af8c0,Filtragem Colaborativa Baseada em Item: Como os Itens se Recomendam entre Si,Ovidio Lopes da Cruz Netto,Outros,"Filtragem Colaborativa Baseada em Item: Como os Itens se Recomendam entre Si








Ovidio Lopes da Cruz Netto",,,
Semana 01,7,0ae2d4c337704d16976a4beedbc8b0ff,Filtragem Colaborativa por Usuário,"23/04/2025 - 14:00h








Ovidio Lopes da Cruz Netto",Outros,"Filtragem Colaborativa por Usuário








23/04/2025 - 14:00h








Ovidio Lopes da Cruz Netto",,,
Semana 01,8,95496afc63f24f4da7cc7e1fedbb9a78,Introdução a Sistemas de Recomendação,Ovidio Lopes da Cruz Netto,Outros,"Introdução a Sistemas de Recomendação








Ovidio Lopes da Cruz Netto",,,
Semana 01,9,7e7539e842094fec85240a43bc578b87,Recommender system,Ovidio Lopes da Cruz Netto,Outros,"Recommender system








Ovidio Lopes da Cruz Netto",,,
Semana 01,10,497555f622884fb59d54aa2f0f49359a,A Filtragem Colaborativa,Ovidio Lopes da Cruz Netto,Outros,"A Filtragem Colaborativa








Ovidio Lopes da Cruz Netto",,,
Semana 01,11,260c915acefe4efab9c2a2b6989602a5,Sistemas de recomendação: Filtragem Colaborativa baseada no Usuário,Ovidio Lopes da Cruz Netto,Outros,"Sistemas de recomendação: Filtragem Colaborativa baseada no Usuário








Ovidio Lopes da Cruz Netto",,,
Semana 01,12,90d5bf87466b44239a99f951fe0a0f7d,User-based Collaborative Filtering in Python,Ovidio Lopes da Cruz Netto,Outros,"User-based Collaborative Filtering in Python








Ovidio Lopes da Cruz Netto",,,
Semana 01,13,e3de821a8d1943509338767a8c25f2f1,Music Recommendation System Using Spotify Dataset,Ovidio Lopes da Cruz Netto,Outros,"Music Recommendation System Using Spotify Dataset








Ovidio Lopes da Cruz Netto",,,
Semana 01,14,e14d0761d54a4b3ea0803ff1e7a4afec,Onboarding e Sprint Planning 1,22/04/2025 - 14:00h,Outros,"Onboarding e Sprint Planning 1








22/04/2025 - 14:00h",,,
Semana 02,1,98be1544303241d4bac6c8c5279d2b05,"Projeto de Software orientado a objetos: conceito de entidades, propriedades, separação de contextos e diagrama UML de classes","28/04/2025 - 14:00h








Ovidio Lopes da Cruz Netto",Projeto,"Projeto de Software orientado a objetos: conceito de entidades, propriedades, separação de contextos e diagrama UML de classes








28/04/2025 - 14:00h








Ovidio Lopes da Cruz Netto",,,
Semana 02,2,5677284a52f84a12a92d8b4103a803b8,Classes e objetos. Definições e uso,Ovidio Lopes da Cruz Netto,Outros,"Classes e objetos. Definições e uso








Ovidio Lopes da Cruz Netto",,,
Semana 02,3,8c782c43374d49e1b7dd62bfa6624dac,Propriedades e Métodos: Definindo o Comportamento dos Objetos,Ovidio Lopes da Cruz Netto,Outros,"Propriedades e Métodos: Definindo o Comportamento dos Objetos








Ovidio Lopes da Cruz Netto",,,
Semana 02,4,9dba8418e03c4d8bab7c48242b10369a,Separação de Contextos: Organizando Responsabilidades no Software,Ovidio Lopes da Cruz Netto,Outros,"Separação de Contextos: Organizando Responsabilidades no Software








Ovidio Lopes da Cruz Netto",,,
Semana 02,5,5ff13dd658794dd09b693886736fc005,Diagramas de Classes UML: Visualizando a Estrutura do Sistema,Ovidio Lopes da Cruz Netto,Outros,"Diagramas de Classes UML: Visualizando a Estrutura do Sistema








Ovidio Lopes da Cruz Netto",,,
Semana 02,6,4727030ab2d64ec5ac2a6132c3e7e5ae,Mapeamento e Gestão Por Processos - BPM,"29/04/2025 - 14:00h








Vanessa Tavares Nunes",Outros,"Mapeamento e Gestão Por Processos - BPM








29/04/2025 - 14:00h








Vanessa Tavares Nunes",,,
Semana 02,7,0bae9835389b4d3081e59a5a7823e61d,"Gerenciar os processos, para agregar valor à organização",Vanessa Tavares Nunes,Outros,"Gerenciar os processos, para agregar valor à organização








Vanessa Tavares Nunes",,,
Semana 02,8,1e6c227119dd478d993657bf8be4df77,Gestão de processos (parte I),Vanessa Tavares Nunes,Outros,"Gestão de processos (parte I)








Vanessa Tavares Nunes",,,
Semana 02,9,32ca65bb3cd440b5b4dd619e0c59a8ff,Modelagem de processos,Vanessa Tavares Nunes,Outros,"Modelagem de processos








Vanessa Tavares Nunes",,,
Semana 02,10,86dfd42f08f942639b92a6eccedf9879,Guia BPMN,Vanessa Tavares Nunes,Outros,"Guia BPMN








Vanessa Tavares Nunes",,,
Semana 02,11,a193e273f92a48d884644d632d63ef89,What is a business process?,Vanessa Tavares Nunes,Outros,"What is a business process?








Vanessa Tavares Nunes",,,
Semana 02,12,907b4fe54a0a41abaca40f14c0a009fd,Introduction to the BPM lifecycle,Vanessa Tavares Nunes,Outros,"Introduction to the BPM lifecycle








Vanessa Tavares Nunes",,,
Semana 02,13,e588d7842b3c49019ad2222ef19dea7f,Process identification,Vanessa Tavares Nunes,Outros,"Process identification








Vanessa Tavares Nunes",,,
Semana 02,14,e1df34d8533847fa92895b5b698c4295,Designation via reference models,Vanessa Tavares Nunes,Outros,"Designation via reference models








Vanessa Tavares Nunes",,,
Semana 02,15,14f5706bd3354adda39e60b798ab60b1,Download da Ferramenta ARIS,Vanessa Tavares Nunes,Outros,"Download da Ferramenta ARIS








Vanessa Tavares Nunes",,,
Semana 02,16,36d8143bb71448ccbbaa23428b489e98,Tutorial da ferramenta ARIS,Vanessa Tavares Nunes,Outros,"Tutorial da ferramenta ARIS








Vanessa Tavares Nunes",,,
Semana 02,17,4be49226dd3f4cdfb9b98045f987a20d,Sprint Review  e  Retrospective 1,30/04/2025 - 14:00h,Outros,"Sprint Review  e  Retrospective 1








30/04/2025 - 14:00h",,,
