semana,semana_num,sprint,indice,id,titulo,descricao,tipo,data_ddmmaaaa,hora_hhmm,data_hora_iso,professor,is_instrucao,is_autoestudo,is_atividade_ponderada,parent_instruction_id,parent_instruction_title,anchor_method,anchor_confidence,links_urls,materiais_urls,arquivos_urls,num_links,num_materiais,num_arquivos,record_hash,texto_completo,links,materiais,arquivos
Semana 01,1,1,1,46d403bdd15b4fe8a68dbf1e9880f00c,Workshop com Parceiro,24/04/2025 - 14:00h,Outros,24/04/2025,14:00,2025-04-24T14:00:00-03:00,,True,False,False,,,,,,,,0,0,0,93fa506122e2fa6d6019741b0a42ed3912b2ded2,"Workshop com Parceiro








24/04/2025 - 14:00h",,,
Semana 01,1,1,2,6ec59e1a3c00451994a3f359a92a340e,Filtragem Colaborativa baseada em Item,"25/04/2025 - 14:00h








Ovidio Lopes da Cruz Netto",Outros,25/04/2025,14:00,2025-04-25T14:00:00-03:00,,True,False,False,,,,,,,,0,0,0,c235e274f290c21554b3313b2cbe1dfb5d6f8b73,"Filtragem Colaborativa baseada em Item








25/04/2025 - 14:00h








Ovidio Lopes da Cruz Netto",,,
Semana 01,1,1,3,81084fd18dae4e2c80cb8d77075c50a3,Recommendation Algorithm with SVD,Ovidio Lopes da Cruz Netto,Outros,,,,,False,False,False,,,,,,,,0,0,0,101ef66a2e6629481fb76d99a95d60014fd2141d,"Recommendation Algorithm with SVD








Ovidio Lopes da Cruz Netto",,,
Semana 01,1,1,4,c641fc49242f4a4f8fb07ed97f1161e2,Visualizing SVD for Recommender Systems,Ovidio Lopes da Cruz Netto,Outros,,,,,False,False,False,,,,,,,,0,0,0,4de87389b30e6fe15866e354d20d19eb5b9dbf7f,"Visualizing SVD for Recommender Systems








Ovidio Lopes da Cruz Netto",,,
Semana 01,1,1,5,be12c320e74743e9a990cd118667390c,Cold start (recommender systems),Ovidio Lopes da Cruz Netto,Outros,,,,,False,False,False,,,,,,,,0,0,0,c299238b79e5fed2254a2c1c227f188aa31e698a,"Cold start (recommender systems)








Ovidio Lopes da Cruz Netto",,,
Semana 01,1,1,6,d248db41e1bc4dce9d9dd291ab2af8c0,Filtragem Colaborativa Baseada em Item: Como os Itens se Recomendam entre Si,Ovidio Lopes da Cruz Netto,Outros,,,,,False,False,False,,,,,,,,0,0,0,976b0eb146d7d345ce1390c73b950bce52326980,"Filtragem Colaborativa Baseada em Item: Como os Itens se Recomendam entre Si








Ovidio Lopes da Cruz Netto",,,
Semana 01,1,1,7,0ae2d4c337704d16976a4beedbc8b0ff,Filtragem Colaborativa por Usuário,"23/04/2025 - 14:00h








Ovidio Lopes da Cruz Netto",Outros,23/04/2025,14:00,2025-04-23T14:00:00-03:00,,True,False,False,,,,,,,,0,0,0,592bb23260c080357812193924ab9d945e04ed7a,"Filtragem Colaborativa por Usuário








23/04/2025 - 14:00h








Ovidio Lopes da Cruz Netto",,,
Semana 01,1,1,8,95496afc63f24f4da7cc7e1fedbb9a78,Introdução a Sistemas de Recomendação,Ovidio Lopes da Cruz Netto,Outros,,,,,True,False,False,,,,,,,,0,0,0,2bc4fef18855d971730735c0cd7302a8cbe3d628,"Introdução a Sistemas de Recomendação








Ovidio Lopes da Cruz Netto",,,
Semana 01,1,1,9,7e7539e842094fec85240a43bc578b87,Recommender system,Ovidio Lopes da Cruz Netto,Outros,,,,,False,False,False,,,,,,,,0,0,0,5647587553cf67290c828542da52ef17f18876fa,"Recommender system








Ovidio Lopes da Cruz Netto",,,
Semana 01,1,1,10,497555f622884fb59d54aa2f0f49359a,A Filtragem Colaborativa,Ovidio Lopes da Cruz Netto,Outros,,,,,False,False,False,,,,,,,,0,0,0,6e36329f058894342768a0e18e970e3578f079ed,"A Filtragem Colaborativa








Ovidio Lopes da Cruz Netto",,,
Semana 01,1,1,11,260c915acefe4efab9c2a2b6989602a5,Sistemas de recomendação: Filtragem Colaborativa baseada no Usuário,Ovidio Lopes da Cruz Netto,Outros,,,,,False,False,False,,,,,,,,0,0,0,59074e884d2844877d0f488453ba8aa0c317a65d,"Sistemas de recomendação: Filtragem Colaborativa baseada no Usuário








Ovidio Lopes da Cruz Netto",,,
Semana 01,1,1,12,90d5bf87466b44239a99f951fe0a0f7d,User-based Collaborative Filtering in Python,Ovidio Lopes da Cruz Netto,Outros,,,,,False,False,False,,,,,,,,0,0,0,de4025abbd33430ce28baeaea0fc308a1c4d62cd,"User-based Collaborative Filtering in Python








Ovidio Lopes da Cruz Netto",,,
Semana 01,1,1,13,e3de821a8d1943509338767a8c25f2f1,Music Recommendation System Using Spotify Dataset,Ovidio Lopes da Cruz Netto,Outros,,,,Music Recommendation System Using Spotify Dataset,False,False,False,,,,,,,,0,0,0,e62c7f3ec0878023ee286f6203e50c55c1528951,"Music Recommendation System Using Spotify Dataset








Ovidio Lopes da Cruz Netto",,,
Semana 01,1,1,14,e14d0761d54a4b3ea0803ff1e7a4afec,Onboarding e Sprint Planning 1,22/04/2025 - 14:00h,Outros,22/04/2025,14:00,2025-04-22T14:00:00-03:00,,True,False,False,,,,,,,,0,0,0,27c03bd81295ba8021fea6872a0a5a51b0682206,"Onboarding e Sprint Planning 1








22/04/2025 - 14:00h",,,
Semana 02,2,1,1,98be1544303241d4bac6c8c5279d2b05,"Projeto de Software orientado a objetos: conceito de entidades, propriedades, separação de contextos e diagrama UML de classes","28/04/2025 - 14:00h








Ovidio Lopes da Cruz Netto",Projeto,28/04/2025,14:00,2025-04-28T14:00:00-03:00,,True,False,False,,,,,,,,0,0,0,5104935327eb5c2b494ced592662c881a0fbf0df,"Projeto de Software orientado a objetos: conceito de entidades, propriedades, separação de contextos e diagrama UML de classes








28/04/2025 - 14:00h








Ovidio Lopes da Cruz Netto",,,
Semana 02,2,1,2,5677284a52f84a12a92d8b4103a803b8,Classes e objetos. Definições e uso,Ovidio Lopes da Cruz Netto,Outros,,,,,False,False,False,,,,,,,,0,0,0,7e2aec21f068379370038a3e963cc928444bb989,"Classes e objetos. Definições e uso








Ovidio Lopes da Cruz Netto",,,
Semana 02,2,1,3,8c782c43374d49e1b7dd62bfa6624dac,Propriedades e Métodos: Definindo o Comportamento dos Objetos,Ovidio Lopes da Cruz Netto,Outros,,,,,False,False,False,,,,,,,,0,0,0,2e10c246e5a6ab4b85dfaa67485d83e810cf99ac,"Propriedades e Métodos: Definindo o Comportamento dos Objetos








Ovidio Lopes da Cruz Netto",,,
Semana 02,2,1,4,9dba8418e03c4d8bab7c48242b10369a,Separação de Contextos: Organizando Responsabilidades no Software,Ovidio Lopes da Cruz Netto,Outros,,,,,False,False,False,,,,,,,,0,0,0,6c9d89f4f740a3494166fd0b1a9362d72c258084,"Separação de Contextos: Organizando Responsabilidades no Software








Ovidio Lopes da Cruz Netto",,,
Semana 02,2,1,5,5ff13dd658794dd09b693886736fc005,Diagramas de Classes UML: Visualizando a Estrutura do Sistema,Ovidio Lopes da Cruz Netto,Outros,,,,,False,False,False,,,,,,,,0,0,0,a46fb7cdee984382250f4df45d3cda68cd752f8f,"Diagramas de Classes UML: Visualizando a Estrutura do Sistema








Ovidio Lopes da Cruz Netto",,,
Semana 02,2,1,6,4727030ab2d64ec5ac2a6132c3e7e5ae,Mapeamento e Gestão Por Processos - BPM,"29/04/2025 - 14:00h








Vanessa Tavares Nunes",Outros,29/04/2025,14:00,2025-04-29T14:00:00-03:00,Vanessa Tavares Nunes,True,False,False,,,,,,,,0,0,0,d6cf8b695b0bf08a04f50e88d9851db739e39427,"Mapeamento e Gestão Por Processos - BPM








29/04/2025 - 14:00h








Vanessa Tavares Nunes",,,
Semana 02,2,1,7,0bae9835389b4d3081e59a5a7823e61d,"Gerenciar os processos, para agregar valor à organização",Vanessa Tavares Nunes,Outros,,,,Vanessa Tavares Nunes,False,False,False,,,,,,,,0,0,0,3dedcab6f5ef22f072ba03469021428e7757cbef,"Gerenciar os processos, para agregar valor à organização








Vanessa Tavares Nunes",,,
Semana 02,2,1,8,1e6c227119dd478d993657bf8be4df77,Gestão de processos (parte I),Vanessa Tavares Nunes,Outros,,,,Vanessa Tavares Nunes,False,False,False,,,,,,,,0,0,0,e363e9608583d5b591fe4ddcd915c1157b3a39aa,"Gestão de processos (parte I)








Vanessa Tavares Nunes",,,
Semana 02,2,1,9,32ca65bb3cd440b5b4dd619e0c59a8ff,Modelagem de processos,Vanessa Tavares Nunes,Outros,,,,Vanessa Tavares Nunes,False,False,False,,,,,,,,0,0,0,d3c4dc788d4bef80fb465460eb3394472ed95aee,"Modelagem de processos








Vanessa Tavares Nunes",,,
Semana 02,2,1,10,86dfd42f08f942639b92a6eccedf9879,Guia BPMN,Vanessa Tavares Nunes,Outros,,,,Vanessa Tavares Nunes,False,False,False,,,,,,,,0,0,0,fec3256c7b0a9eda7333d7b656ef5f961dafcc20,"Guia BPMN








Vanessa Tavares Nunes",,,
Semana 02,2,1,11,a193e273f92a48d884644d632d63ef89,What is a business process?,Vanessa Tavares Nunes,Outros,,,,Vanessa Tavares Nunes,False,False,False,,,,,,,,0,0,0,a5a88e2b43471112c6374908e790283f87b4d3d0,"What is a business process?








Vanessa Tavares Nunes",,,
Semana 02,2,1,12,907b4fe54a0a41abaca40f14c0a009fd,Introduction to the BPM lifecycle,Vanessa Tavares Nunes,Outros,,,,Vanessa Tavares Nunes,False,False,False,,,,,,,,0,0,0,a1b4dc93376b63721bc1d5774001cb18d2b0a82a,"Introduction to the BPM lifecycle








Vanessa Tavares Nunes",,,
Semana 02,2,1,13,e588d7842b3c49019ad2222ef19dea7f,Process identification,Vanessa Tavares Nunes,Outros,,,,Vanessa Tavares Nunes,False,False,False,,,,,,,,0,0,0,9759e8a1c85f2d1c9ac2cae3351086f1484b81d8,"Process identification








Vanessa Tavares Nunes",,,
Semana 02,2,1,14,e1df34d8533847fa92895b5b698c4295,Designation via reference models,Vanessa Tavares Nunes,Outros,,,,Vanessa Tavares Nunes,False,False,False,,,,,,,,0,0,0,42b93bd347d7520146e689b4e8b471a305cefd86,"Designation via reference models








Vanessa Tavares Nunes",,,
Semana 02,2,1,15,14f5706bd3354adda39e60b798ab60b1,Download da Ferramenta ARIS,Vanessa Tavares Nunes,Outros,,,,Vanessa Tavares Nunes,False,False,False,,,,,,,,0,0,0,667b87010eea1d277c8879f74faf640ca44fbdaf,"Download da Ferramenta ARIS








Vanessa Tavares Nunes",,,
Semana 02,2,1,16,36d8143bb71448ccbbaa23428b489e98,Tutorial da ferramenta ARIS,Vanessa Tavares Nunes,Outros,,,,Vanessa Tavares Nunes,False,False,False,,,,,,,,0,0,0,b3b5b2c739b7253535adfc4a4c19aed6edd14e02,"Tutorial da ferramenta ARIS








Vanessa Tavares Nunes",,,
Semana 02,2,1,17,4be49226dd3f4cdfb9b98045f987a20d,Sprint Review  e  Retrospective 1,30/04/2025 - 14:00h,Outros,30/04/2025,14:00,2025-04-30T14:00:00-03:00,,True,False,False,,,,,,,,0,0,0,a7e2f03628cc1b0cac79ba794d1c31a4e0acad75,"Sprint Review  e  Retrospective 1








30/04/2025 - 14:00h",,,
Semana 02,2,1,18,46d7a66e8ddb4e1898c1325a4e1e838a,Questão de Negócios Parte 1 - Tarefa de modelagem de processos,"Nota: 0.0








Vanessa Tavares Nunes

Atividade ponderada",Atividade,,,,Vanessa Tavares Nunes,False,False,True,4727030ab2d64ec5ac2a6132c3e7e5ae,Mapeamento e Gestão Por Processos - BPM,"professor,sim=0.08,prev_prox=0.30",high,,,,0,0,0,4783b8974e96f44ee2e4a2cd86b0dda41dec20e2,"Questão de Negócios Parte 1 - Tarefa de modelagem de processos

Nota: 0.0








Vanessa Tavares Nunes

Atividade ponderada",,,
Semana 02,2,1,19,1ba0a1168df341408cb9343e97fbbf3f,ENTENDIMENTO DO PROJETO E DO NEGÓCIO,"Nota: 8.1

Atividade ponderada",Atividade,,,,,False,False,True,4be49226dd3f4cdfb9b98045f987a20d,Sprint Review  e  Retrospective 1,"sim=0.17,prev_prox=1.30",medium,,,,0,0,0,e51e8c2c3bbece06da5d90c4fae80bb1084484f7,"ENTENDIMENTO DO PROJETO E DO NEGÓCIO

Nota: 8.1

Atividade ponderada",,,
Semana 02,2,1,20,f1ed632241f24b918da506b68d52fd8f,ESPECIFICAÇÃO DE REQUISITOS FUNCIONAIS E NÃO FUNCIONAIS,"Nota: 8.2

Atividade ponderada",Atividade,,,,,False,False,True,4be49226dd3f4cdfb9b98045f987a20d,Sprint Review  e  Retrospective 1,"sim=0.14,prev_prox=1.20",medium,,,,0,0,0,fbcc2d7c7f051d5229af472d5573c85f6afce58a,"ESPECIFICAÇÃO DE REQUISITOS FUNCIONAIS E NÃO FUNCIONAIS

Nota: 8.2

Atividade ponderada",,,
Semana 02,2,1,21,3731ea819a3442c6aea76e9805a7eb80,BASE DE DADOS PARA MODELO DE RECOMENDAÇÃO,"Nota: 6.6

Atividade ponderada",Atividade,,,,BASE DE DADOS PARA MODELO DE RECOMENDAÇÃO,False,False,True,4be49226dd3f4cdfb9b98045f987a20d,Sprint Review  e  Retrospective 1,"sim=0.00,prev_prox=1.10",medium,,,,0,0,0,5d134d0918f92a95d5357a3a97183791b6098eaa,"BASE DE DADOS PARA MODELO DE RECOMENDAÇÃO

Nota: 6.6

Atividade ponderada",,,
Semana 02,2,1,22,5c37c380e7c4418485d3eb2b4bbb3139,GESTÃO EVOLUTIVA DO PROJETO,"Nota: 8.0

Atividade ponderada",Atividade,,,,GESTÃO EVOLUTIVA DO PROJETO,False,False,True,4be49226dd3f4cdfb9b98045f987a20d,Sprint Review  e  Retrospective 1,"sim=0.00,prev_prox=1.00",medium,,,,0,0,0,3f592b4455398f9abbee2add7c338f14f9977014,"GESTÃO EVOLUTIVA DO PROJETO

Nota: 8.0

Atividade ponderada",,,
Semana 02,2,1,23,51fd5946b86742918b77eaf8f4fee09c,GESTÃO DE CONFIGURAÇÃO,"Nota: 8.1

Atividade ponderada",Atividade,,,,GESTÃO DE CONFIGURAÇÃO,False,False,True,4be49226dd3f4cdfb9b98045f987a20d,Sprint Review  e  Retrospective 1,"sim=0.00,prev_prox=0.90",medium,,,,0,0,0,378f37f3c968ef0b33523ed737294cb3d7a0dafd,"GESTÃO DE CONFIGURAÇÃO

Nota: 8.1

Atividade ponderada",,,
Semana 03,3,2,1,a67a324c0deb44a7a9b00c20d28beb62,Sprint Planning 2 e Demonstração de Aprendizagem,05/05/2025 - 10:00h,Outros,05/05/2025,10:00,2025-05-05T10:00:00-03:00,,True,False,False,,,,,,,,0,0,0,18bc43aedfdbeb28c9fa3ff778ad1c383fddcbba,"Sprint Planning 2 e Demonstração de Aprendizagem








05/05/2025 - 10:00h",,,
Semana 03,3,2,2,55f98d38ad094bdaa61696bff0217339,Sistemas de recomendação baseados em filtragem colaborativa,"06/05/2025 - 14:00h








Ovidio Lopes da Cruz Netto",Outros,06/05/2025,14:00,2025-05-06T14:00:00-03:00,,True,False,False,,,,,,,,0,0,0,ba38c63e5fce8377370fd7eb0a0489af6098dcce,"Sistemas de recomendação baseados em filtragem colaborativa








06/05/2025 - 14:00h








Ovidio Lopes da Cruz Netto",,,
Semana 03,3,2,3,1a31f4ccc74a4acaa0fb793a94d59a08,What Content-Based Filtering is and Why You Should Use It,Ovidio Lopes da Cruz Netto,Outros,,,,,False,False,False,,,,,,,,0,0,0,d9b27a4a8905ef9da86c7bca17cc4c48699e3aa7,"What Content-Based Filtering is and Why You Should Use It








Ovidio Lopes da Cruz Netto",,,
Semana 03,3,2,4,813fb6a68b124a16a55624c84034d333,Building a Content-Based Book Recommendation Engine,Ovidio Lopes da Cruz Netto,Outros,,,,,False,False,False,,,,,,,,0,0,0,cf3382d468d4d78cbc1b7b56268b5a27dd2b53c7,"Building a Content-Based Book Recommendation Engine








Ovidio Lopes da Cruz Netto",,,
Semana 03,3,2,5,e629a2d956104093ade0ddfe32c31878,Recommender Systems: Behind the Scenes of Machine Learning-Based Personalization,Ovidio Lopes da Cruz Netto,Outros,,,,,False,False,False,,,,,,,,0,0,0,fdeab1911a848d922264cd04aa51cb6f1b31e91d,"Recommender Systems: Behind the Scenes of Machine Learning-Based Personalization








Ovidio Lopes da Cruz Netto",,,
Semana 03,3,2,6,ab467695cd784b468e9b9ae71fb895ac,Fundamentos de comunicação e interface aplicados à computação e sistemas móveis,"07/05/2025 - 14:00h








Bruna Mayer Costa",Outros,07/05/2025,14:00,2025-05-07T14:00:00-03:00,Bruna Mayer Costa,True,False,False,,,,,,,,0,0,0,b1bd07da56786d95c727464c5b9ac8884b6a4853,"Fundamentos de comunicação e interface aplicados à computação e sistemas móveis








07/05/2025 - 14:00h








Bruna Mayer Costa",,,
Semana 03,3,2,7,7584afda18fe463486450e10158d924b,"Decomposição em Valores Singulares (SVD): Entendendo através da teoria de matrizes, autovalores e autovetores","08/05/2025 - 14:00h








Luciano Galdino",Outros,08/05/2025,14:00,2025-05-08T14:00:00-03:00,Luciano Galdino,True,False,False,,,,,,,,0,0,0,650d844c0e8c7eeb819bb593f31dfd78ef7003fb,"Decomposição em Valores Singulares (SVD): Entendendo através da teoria de matrizes, autovalores e autovetores








08/05/2025 - 14:00h








Luciano Galdino",,,
Semana 03,3,2,8,bce3067b31864a36b3d9ece65b77d8b8,Teoria: Fatoração de Matriz,Luciano Galdino,Outros,,,,Luciano Galdino,False,False,False,,,,,,,,0,0,0,43d129eae7e0cfcf35eb0963725237ffc36671e8,"Teoria: Fatoração de Matriz








Luciano Galdino",,,
Semana 03,3,2,9,cb5c49c7b26c46acbd59fd4932c054ac,Vídeo 1: A.I. Experiments: Visualizing High-Dimensional Space (by Google for Developers),Luciano Galdino,Outros,,,,Luciano Galdino,False,False,False,,,,,,,,0,0,0,1d34cccbb126a9651493df09b71665465849c45e,"Vídeo 1: A.I. Experiments: Visualizing High-Dimensional Space (by Google for Developers)








Luciano Galdino",,,
Semana 03,3,2,10,f81c3fbe8fbb4991aefe96e09407e5cd,Vídeo 2: Singular Value Decomposition (SVD): Mathematical Overview (by Steve Brunton),Luciano Galdino,Outros,,,,Luciano Galdino,False,False,False,,,,,,,,0,0,0,979ccdb0504fac1bda8538faac835128e3e8f761,"Vídeo 2: Singular Value Decomposition (SVD): Mathematical Overview (by Steve Brunton)








Luciano Galdino",,,
Semana 03,3,2,11,4d1aaac6676043d1a1ffda79feffe4e3,Tópicos de BD: Stored Procedures e Functions,"09/05/2025 - 14:00h








Hermano Peixoto de Oliveira Junior",Outros,09/05/2025,14:00,2025-05-09T14:00:00-03:00,,True,False,False,,,,,,,,0,0,0,d563db57bed6d4de4963d594790c9f3adbf1f9f3,"Tópicos de BD: Stored Procedures e Functions








09/05/2025 - 14:00h








Hermano Peixoto de Oliveira Junior",,,
Semana 03,3,2,12,be93d7e39d5c40d1aa6a792c50e257df,PL/pgSQL — SQL Procedural Language,Hermano Peixoto de Oliveira Junior,Outros,,,,,False,False,False,,,,,,,,0,0,0,5e7141a874103a2dd5c662b683a0011392470bb8,"PL/pgSQL — SQL Procedural Language








Hermano Peixoto de Oliveira Junior",,,
Semana 03,3,2,13,f7be21925e8b442381b87e076667767b,Procedimentos Armazenados e Sobrecarga de Função - PostgreSQL,Hermano Peixoto de Oliveira Junior,Outros,,,,,False,False,False,,,,,,,,0,0,0,b3b846af614f7a1e1d4ec709a2f9bcb6738cea94,"Procedimentos Armazenados e Sobrecarga de Função - PostgreSQL








Hermano Peixoto de Oliveira Junior",,,
Semana 03,3,2,14,928ce688391c42b59933facf4a5b2241,O que é e Como Criar uma Procedure no PostgreSQL?,Hermano Peixoto de Oliveira Junior,Outros,,,,,False,False,False,,,,,,,,0,0,0,61147addcc26af364d4714686313995535b23180,"O que é e Como Criar uma Procedure no PostgreSQL?








Hermano Peixoto de Oliveira Junior",,,
Semana 03,3,2,15,fdace7cdfc9d496a9b13831e5414b936,Creating Mobile App Wireframes: A Step-by-Step Guide,Bruna Mayer Costa,Outros,,,,Bruna Mayer Costa,False,False,False,,,,,,,,0,0,0,731a244247c1c06416226ace4a78241ee31dc0a4,"Creating Mobile App Wireframes: A Step-by-Step Guide








Bruna Mayer Costa",,,
Semana 03,3,2,16,7ff4562360524776838aec68de590711,A Complete Guide To Mobile First Design,Bruna Mayer Costa,Outros,,,,Bruna Mayer Costa,False,False,False,,,,,,,,0,0,0,9ac6aef63c2e9c4a45d3589c06e86fe9758c17cc,"A Complete Guide To Mobile First Design








Bruna Mayer Costa",,,
Semana 03,3,2,17,b2c7bb09513f4621afde06ecefd55832,4 Foundational UI Design Principles | C.R.A.P.,Bruna Mayer Costa,Outros,,,,Bruna Mayer Costa,False,False,False,,,,,,,,0,0,0,f15c6d16de22557e9ec8f3c7a7c1e80959fafd8f,"4 Foundational UI Design Principles | C.R.A.P.








Bruna Mayer Costa",,,
Semana 03,3,2,18,c76172bc7423451da89130c1186a692e,Tipos de Navegação,Bruna Mayer Costa,Outros,,,,Bruna Mayer Costa,False,False,False,,,,,,,,0,0,0,679608e1a0aa86cfc83b8504677f2d00e674180e,"Tipos de Navegação








Bruna Mayer Costa",,,
Semana 03,3,2,19,1c3a54c6f7c441fc838ff65d728838ad,Benchmarking: Como Efetuar A Análise De Competidores Em UX Design?,Bruna Mayer Costa,Outros,,,,Bruna Mayer Costa,False,False,False,,,,,,,,0,0,0,22d74d5a8d923e7249507ab0eb261c7cd70ea3e4,"Benchmarking: Como Efetuar A Análise De Competidores Em UX Design?








Bruna Mayer Costa",,,
